stimulus_nr	var	var_nr	total	exp	n
1	χo	1	13	yes	13
2	χo	1	13	yes	13
3	ɬa	2	1	no	13
3	χo	1	12	yes	13
4	ɬa	2	2	no	13
4	ɬo	3	1	no	13
4	χo	1	10	yes	13
5	ɬa	2	2	no	13
5	ɬo	3	1	no	13
5	χo	1	10	yes	13
6	ɬa	2	1	no	11
6	ɬo	3	2	no	11
6	NA	NA	2	NA	11
6	χo	1	8	yes	11
7	χo	1	13	yes	13
8	ɬa	2	2	no	12
8	ɬo	3	2	no	12
8	NA	NA	1	NA	12
8	χo	1	8	yes	12
9	ɬa	2	2	no	10
9	NA	NA	3	NA	10
9	χo	1	8	yes	10
10	NA	NA	7	NA	6
10	χo	1	6	yes	6
11	ɬa	2	10	yes	13
11	ɬo	3	3	no	13
12	ɬa	2	10	yes	13
12	ɬo	3	3	no	13
13	ɬa	2	2	no	10
13	ɬo	3	2	no	10
13	NA	NA	3	NA	10
13	χo	1	6	yes	10
14	ɬo	3	13	yes	13
15	ɬa	2	3	no	13
15	χo	1	10	yes	13
16	χo	1	13	yes	13
17	ɬo	3	1	no	13
17	χo	1	12	yes	13
